id,name,level,parent,lineage,isActive,metadesc,metakeywords
2625,Ion Source,2,2260,/2260/2625/,1,NULL,NULL
2626,Mass Spectrometer,2,2260,/2260/2626/,1,NULL,NULL
2627,Carts,2,2261,/2261/2627/,1,NULL,NULL
2628,Conveyor,2,2261,/2261/2628/,1,NULL,NULL
2629,Electric Cart,2,2261,/2261/2629/,1,NULL,NULL
2630,Strapping,2,2261,/2261/2630/,1,NULL,NULL
2631,Abrasion,2,2262,/2262/2631/,1,Refurbished used laboratory equipment ,Tabor
2632,Adsorbance,2,2262,/2262/2632/,1,NULL,NULL
2633,Belbo Flex Tester,2,2262,/2262/2633/,1,NULL,NULL
2634,Calorimeter,2,2262,/2262/2634/,1,NULL,NULL
2635,Coking,2,2262,/2262/2635/,1,NULL,NULL
2636,Color/Surfaces,2,2262,/2262/2636/,1,NULL,NULL
2637,Contact Angle,2,2262,/2262/2637/,1,NULL,NULL
2638,Cut Off Machine,2,2262,/2262/2638/,1,NULL,NULL
2639,Deadweight,2,2262,/2262/2639/,1,NULL,NULL
2640,Densitometer,2,2262,/2262/2640/,1,NULL,NULL
2641,Density,2,2262,/2262/2641/,1,NULL,NULL
2642,Dielectric Strength,2,2262,/2262/2642/,1,NULL,NULL
2643,Dimpler,2,2262,/2262/2643/,1,NULL,NULL
2644,Dry Powder Feeder,2,2262,/2262/2644/,1,NULL,NULL
2645,Durability,2,2262,/2262/2645/,1,NULL,NULL
2646,Durometer,2,2262,/2262/2646/,1,NULL,NULL
2647,Ellipsometers,2,2262,/2262/2647/,1,NULL,NULL
2648,Fineness/Grind,2,2262,/2262/2648/,1,NULL,NULL
2649,Flash Point,2,2262,/2262/2649/,1,NULL,NULL
2650,Floculation,2,2262,/2262/2650/,1,NULL,NULL
2651,Force Gauge,2,2262,/2262/2651/,1,NULL,NULL
2652,Friability,2,2262,/2262/2652/,1,NULL,NULL
2653,Gauge Tester,2,2262,/2262/2653/,1,NULL,NULL
2654,Gauging,2,2262,/2262/2654/,1,NULL,NULL
2655,Gloss Meter,2,2262,/2262/2655/,1,NULL,NULL
2656,Goniometer,2,2262,/2262/2656/,1,NULL,NULL
